sl_no,video_id,user_id,comment,likes,last_update_time,sentiment,sentiment_label
27,IBe2o-cZncU,UC_n-RlJ0RxcMFK6XcIHm6Tg,"AI will be just like fire; It's a great servant, but a really bad master",4,2019-12-10T03:02:27.000Z,0.0500000000000001,neutral
28,IBe2o-cZncU,UCkrEVI8CjFXcOm__E67Irtw,Last time I was this early Epstein was still alive in his cell.,4,2019-12-09T13:03:50.000Z,0.06666666666666667,neutral
29,IBe2o-cZncU,UCW9TMgL6TtlTUR3ClEpawoQ,When she said: You're watching Cold Fusion TV  *i felt that*,1,2020-01-05T17:57:16.000Z,-0.6,negative
30,IBe2o-cZncU,UCmgj7wY-calPYgt-8Pjgebw,"First articles in A.I. and ML: 1. McCalloch W.S., Pitts W., ″A Logical Calculus of Ideas Immanent in Nervous Activity,″ Bulletin of Mathematical Biophysics, Vol. 5, 1943, pp. 115–133, doi: 10.1007/BF02478259 2. Stochastic Neural Analog Reinforcement Calculator, SNARC, 1951. By Marvin Minsky and George Miller. 3. Rosenblatt F., ″The perceptron: A probabilistic model for information storage and organization in the brain,″ Psychological Review, Vol. 65, No. 6, 1958, pp. 386–408, doi: 10.1037/h0042519 4. Samuel A.L., ″Some Studies in Machine Learning Using the Game of Checkers,″ in IBM Journal of Research and Development, Vol. 3, No. 3, July 1959, pp. 210-229, doi: 10.1147/rd.33.0210.",20,2019-12-09T13:22:31.000Z,0.0,neutral
31,IBe2o-cZncU,UC7ysrXYblJ7A4XkDoS3yIAg,"title should be ""who invented Artificial Neural Networks"" not AI, ai is bigger, good research but failed in the basics",4,2019-12-09T14:51:51.000Z,-0.1,neutral
32,IBe2o-cZncU,UCaSAhN17LMRMK2OHckR8RSg,Steve Jobs did not invent the iPhone and gets a lot of Credit whereas the Pioneers in the Tech World gets so little Credit,10,2019-12-09T14:35:01.000Z,-0.1875,neutral
33,IBe2o-cZncU,UC0wn6IWzf7Gs1SUX6-V5EUg,When I see the notification of this video I am damn sure this is gonna be epic I already like it before I watch this video 😂 keep going man you doing great,5,2019-12-09T13:54:50.000Z,0.4666666666666666,positive
34,IBe2o-cZncU,UC0wJhbxSJChZE8P5L5MoNTA,1970s people: We'll have flying cars in 30 years! 2020s people: Robots will be smarter than us in 30 years!,20,2019-12-10T14:41:51.000Z,0.0,neutral
35,IBe2o-cZncU,UCu-yrHGleRa3Wv8dhg5NrHQ,A mind-blowing stuff.  Would you like to do a vid about Alan Turing/ Ray Kuzweil?  Greetings from Lake Titicaca Bolivia,3,2019-12-09T15:34:16.000Z,0.0,neutral
36,IBe2o-cZncU,UCXy2VSGx6aphSK3ctsLcKDg,Who Invented A.I.? - The Pioneers of Our Demise,3,2019-12-10T03:08:26.000Z,0.0,neutral
37,IBe2o-cZncU,UCAInl1iA0Bnd68XpvfVDPKQ,The best stories are the ones where someone is shunned and ridiculed only to be discovered right all along,2,2019-12-10T02:32:50.000Z,0.42857142857142855,positive
38,IBe2o-cZncU,UCdxSANISh3qjnQkzXMT-qlg,I'm not first but I've never been this early. Currently watching one of your vids and I got the notification. Can't wait to finish and watch this one as well. RIP work...,3,2019-12-09T12:54:42.000Z,-0.008333333333333331,neutral
39,IBe2o-cZncU,UCsFz9NSt8ZROXEJ6JwLWOAg,"slightly related: Mrs Windsor, knight Turing already!",1,2019-12-09T19:27:15.000Z,0.0,neutral
40,IBe2o-cZncU,UCHOSfCrrKsfO8XeYQaoVFrg,Those visual at the end are amazing. Wish I could have glasses that change perspective like that! Trippy!,5,2019-12-09T14:05:54.000Z,0.46875000000000006,positive
41,IBe2o-cZncU,UCZhyF-ugdbSZF_oZg_sFxVw,"16:13 sooooooooo does he sleep upright?....And with alllll this A.I craziness, why hasn't he or his team of A.I Soldiers sought out a way to fix his back injury?",1,2019-12-11T06:52:39.000Z,0.0,neutral
42,IBe2o-cZncU,UCY2eGv0yer1szeeLZtFvEnA,"Don't know from how many decades people have been saying that AI , nuclear fusion will be reality ?",7,2019-12-09T12:57:53.000Z,0.5,positive
43,IBe2o-cZncU,UCIaUzMI0LkusUaI0gFqmijg,Why is Yoshua Bengio being left out? I thought turning award was give to these 3 people.,4,2019-12-10T03:46:04.000Z,0.0,neutral
44,IBe2o-cZncU,UCN0JI8-OwGmoSxU4TzcuSRQ,The Mitochondria is the Powerhouse of the Cell. The A.I. are the Angels of the Mind. It is all about -parasitic co_dependence-  _symbiogenesis_ . . .,4,2019-12-10T08:10:26.000Z,0.0,neutral
45,IBe2o-cZncU,UCX1K9Gf_bJv57EvrP6II0-A,"One of humanity's greatest tools of war and oppression, I can't wait!  ಥ‿ಥ",1,2019-12-12T16:01:53.000Z,1.0,positive
46,IBe2o-cZncU,UCCH5UIBnY0X899Uo1Fke37w,"Here in Croatia Singularity will be achieved soon, couse the average IQ of ppl is like 87 :))",10,2019-12-09T15:07:58.000Z,0.175,neutral
47,IBe2o-cZncU,UCCSk7XtYCYg9CDp1Xl87aWA,"Man you forget Yoshua Bengio, he also got the Turing award this year and he helped the field with many publications",3,2019-12-09T21:19:53.000Z,0.5,positive
48,IBe2o-cZncU,UCS6txFuVGh7ufUgcDAFU1bw,"Do you have any thoughts about the weaponization of AI?  This video focused on positive uses for AI. Like any tool, AI could be used for good or bad. Any tech with promise gets co-opted by the military pretty quickly right? I mean, can you imagine a militarized AI for attacking critical infrastructure?  Humans seem pretty consistent on to finding new ways to destroy one another. It's hard enough to stop cyber-criminals from stealing credit cards... A weaponized AI could cause more damage to a nation or economy than any nuclear warhead, not to mention their use in weapons systems/vehicles. Just scary to think about.  Thank you for the informative and insightful video. It is always a treat to see your uploads.",4,2019-12-10T06:30:16.000Z,0.030948998917748924,neutral
49,IBe2o-cZncU,UCrqOMHtU_gD2jHb7PR6WMZQ,Hopefully a AI can tell me how to proceed with my life hard decisions right now,2,2019-12-10T05:15:54.000Z,-0.0029761904761904934,neutral
50,IBe2o-cZncU,UCC1TR63XB_bF9jRHOSQjsbw,"all i can hear is ""judgement day"" turum dum dum dum",2,2019-12-09T19:52:07.000Z,0.0,neutral
51,IBe2o-cZncU,UClavy3_2_cS_EkJ3hIxqF3A,"Marvin Minsky would be another big name, I remember seeing his name frequently when I learned neural networks in the '90s.",3,2019-12-09T14:52:26.000Z,0.05,neutral
52,IBe2o-cZncU,UCaSAhN17LMRMK2OHckR8RSg,7:55 Pedestrian might have used AI without realizing that the Pioneer of it is just near them,1,2019-12-09T14:40:04.000Z,0.1,neutral
53,IBe2o-cZncU,UC-X458fP4HE661S6g9EC4Ng,"Perspective:  I recall the first time I ever saw a TV in a store window in Harrisburg, Illinois.  That was almost 70 years ago Now, fast forward to this! What a grand time to have been alive!!",1,2019-12-11T15:08:59.000Z,0.2890625,neutral
54,IBe2o-cZncU,UCBtBIqlkmUTdhiSk2kHhYrw,"Uber's ""AI"" was later confirmed in an interview to be an if statement",0,2020-04-02T13:41:11.000Z,0.2,neutral
55,IBe2o-cZncU,UCeD5m_xKSINJbWDlKGuCyIw,"4:56 Euh... so on one hand we are trowing away data. On the other: humans and animals learn faster and with less data than computers. Hmm, that seems like an odd choice.",0,2019-12-10T11:24:28.000Z,-0.15277777777777776,neutral
56,IBe2o-cZncU,UCg72Es022TW-1rlihJAByEA,1958: lets train perceptron to recognize the patterns of male and femal faces 2019: did this patriarcal thing just assume my gender?,1,2019-12-10T20:13:04.000Z,0.0,neutral
57,IBe2o-cZncU,UCiiViwIk8lm6y6QvQQ_HUlw,"mad respect to the guy, unfazed by peer pressure",3,2019-12-09T14:16:39.000Z,-0.625,negative
58,IBe2o-cZncU,UCXmZB7vZiubH_W74zyGwaEw,"You guys on know what I just thought, when I heard that this person needs to stand upright all die Time? Get this man an EUC (electric unicycle).",0,2019-12-10T18:01:24.000Z,0.0,neutral
59,IBe2o-cZncU,UCH81472-8nOept6UBrUTVqw,"""Originally from Britain in the UK"" That's like saying ""Originally from the USA in America""",0,2019-12-12T02:19:05.000Z,0.375,positive
60,IBe2o-cZncU,UCv0edf1KgkUxRYByKk9FR3A,AI: *works* Hinton: y’all hear sumn?,0,2019-12-10T06:06:02.000Z,0.0,neutral
61,IBe2o-cZncU,UCbfYPyITQ-7l4upoX8nvctg,"Excellent video, held on to my papers all the way through. Thank you so much for the kind shoutout! 🙏",2,2019-12-09T16:53:57.000Z,0.65,positive
62,IBe2o-cZncU,UCUdkresyuzUnx3m6GGgdMcg,John McCarthy: Am I a joke to you?   @ColdFusion did you even know who John McCarthy was?   unsubscribe,0,2019-12-14T16:21:31.000Z,0.0,neutral
63,IBe2o-cZncU,UClM1fx2adfeb34PszRRwxMg,2040 sounds about right! Just in time where everything will be photonic.,0,2019-12-26T12:40:33.000Z,0.3571428571428571,positive
64,IBe2o-cZncU,UCnbIEVaX0NhbGuN-zAYumpw,"When you talked about the important historical figures of AI, I think that Alan Turing should have topped the list by far. Without him, algorithmic computation and modern programming, on which AI is being built, would legitimately be pushed back by decades.",22,2019-12-09T16:50:10.000Z,0.13999999999999999,neutral
65,IBe2o-cZncU,UC9WiMKfPwmfwsIeYmYK00fw,"Thanks for this! Also, my AI ears detect ""Low Sun"" from Chicane's ""Behind the Sun"" at 9:06. Cheers!",0,2019-12-09T18:19:37.000Z,-0.08333333333333333,neutral
66,IBe2o-cZncU,UCGeiRsPyqWVff3-ji3RR0wg,"Does God exist? A.I : Yes, He does now!!!",1,2019-12-10T05:39:04.000Z,0.0,neutral
67,IBe2o-cZncU,UC9Bc8apJfcCvQl-lymQVcCg,"Interesting.. ""Intelligent Automation"" becomes ""Artificial Intelligence"".",0,2019-12-10T21:49:15.000Z,0.23333333333333336,neutral
68,IBe2o-cZncU,UCRs10K9rd7IbtryqQnZVeaw,"Altraide Dagogo!  You are a gift to this world! Thank you for all these wonderful videos that give us ordinary, curious people access to the cutting edge developments that are changing our world.  I am so grateful for you.",0,2020-01-28T15:08:05.000Z,0.012500000000000011,neutral
69,IBe2o-cZncU,UCHNDled75xSB7oQpy7-uOag,"""The earliest substantial work in the field of artificial intelligence was done in the mid-20th century by the British logician and computer pioneer Alan Mathison Turing."" https://www.britannica.com/technology/artificial-intelligence/Alan-Turing-and-the-beginning-of-AI",0,2019-12-09T18:51:59.000Z,-0.3,neutral
70,IBe2o-cZncU,UCZCQiZ08gbilYoIRuGPBa2w,"Yeah, i also trained an AI that learned to break the physics engine in order to achieve its goal... These things as true masters of finding exploits!",0,2019-12-09T20:46:05.000Z,0.4375,positive
71,IBe2o-cZncU,UCemKVhbfPDojYIh2aerZI2w,So glad I was born in the 90' and can actually witness the AI revolution as it progresses...,0,2019-12-09T20:07:32.000Z,0.25,neutral
72,IBe2o-cZncU,UCaBhukacBjul3x_SPQrG_dw,A.I. started working when I remembered to eat instead of drinking coffee each morning,0,2019-12-09T18:19:42.000Z,0.0,neutral
73,IBe2o-cZncU,UCuCJdFMHnGOFIQle9lr4PUA,"Hey, great videos! Big Fan! Another turing award winner ""Yoshua Bengio"" MUST have been mentioned here. He has been contributing to the field even before Yann Le Cun.",0,2019-12-13T23:20:32.000Z,0.5,positive
74,IBe2o-cZncU,UCXDjiyXaOqR3bgtNcvk7s0w,I need that AI software that can bring my paintings to life!,0,2019-12-09T16:44:20.000Z,0.0,neutral
75,IBe2o-cZncU,UCv_27sUNKKK2S0aJahDRT8g,It’s all fun and games until it realizes we kill eachother just because we have different ideas,2,2019-12-09T20:21:50.000Z,0.15,neutral
76,IBe2o-cZncU,UCNdkt5cayRJnbwjljYv6DjQ,"Thank you so much for this amazing video! Great production and research on the topic put into a relatively small video, good job",0,2019-12-27T04:04:00.000Z,0.44000000000000006,positive
77,IBe2o-cZncU,UCC7-2-VDRHTWojUtF3IXSeg,Thank you Dagogo! The future is beyond imagination!,0,2019-12-09T17:08:29.000Z,0.0,neutral
78,IBe2o-cZncU,UC6g_VyV-pjzLhI3xu_uVu-g,"12:53 ""virtually infinite"" meaning ""near infinite"".  FYI, you cannot be near infinite.",0,2019-12-09T16:46:41.000Z,0.1,neutral
79,IBe2o-cZncU,UCFms2bxSqVCrbCxbnM_kg8A,“Originally from Britain in the Uk”...?,0,2019-12-12T00:00:06.000Z,0.375,positive
80,IBe2o-cZncU,UCyLfvMHBhnOOMYwnjHoo0bg,"First like, never been this early",1,2019-12-09T12:52:16.000Z,0.175,neutral
81,IBe2o-cZncU,UCbwTChTKZ5LZ85_Fl15XMvg,The one who invented Algebra and Algorithm 🤷🏼‍♂️,0,2019-12-10T18:31:12.000Z,0.0,neutral
82,IBe2o-cZncU,UCqMiEZYCGzlSkSF8VqzE9aQ,Did this just try to tell me that I somehow can't recognize 5% of the things I look at? We are talking sober right,0,2019-12-10T07:54:15.000Z,0.19285714285714284,neutral
83,IBe2o-cZncU,UCZeoHcTYc2tcgMyasVVNOEQ,That was a great video really enjoyed it. Leaves me with many questions about AI. Is there a limit to intelligence?,0,2019-12-09T20:10:17.000Z,0.6,positive
84,IBe2o-cZncU,UCUD5loky-nNi2WNexbDROtA,"Thanks Dagogo, keenly listening from Rwanda. We love you!",0,2019-12-09T20:32:22.000Z,0.4125,positive
85,IBe2o-cZncU,UClpRxkfRwaSqY96UD3krc3g,I have hope for a symbolic relationship... We could technically end aging and enhance our capabilities.,0,2020-01-08T20:44:58.000Z,0.0,neutral
86,IBe2o-cZncU,UCO5NOXBwm2fEdbTGoDZFTjw,This video was fantastic - thank you for such passion and quality content!,0,2019-12-10T15:36:47.000Z,0.2,neutral
87,IBe2o-cZncU,UC08bcWeCKP4nT7o2a3xLuhw,"We'll make great pets. 👽🖖""Na-nu""",1,2019-12-09T13:38:59.000Z,0.8,positive
88,IBe2o-cZncU,UCYnTyCTAhCnwUDeoS_Su0YA,This is an AWESOME video!!! Superb editing!!! very professional. Thank you!,2,2019-12-09T13:17:16.000Z,0.7208333333333333,positive
89,IBe2o-cZncU,UCd0J2muXtsI3Ane_wP0WOMQ,Coldfusion: epitome of quality content,0,2019-12-10T16:43:37.000Z,0.0,neutral
90,IBe2o-cZncU,UCCNYOcAzZu7Ec7YeYonpL5Q,Artificial intelligence is amazing,1,2019-12-09T20:37:09.000Z,5.551115123125783e-17,neutral
91,IBe2o-cZncU,UCgAhuNnVSNQ63GYq1z9ZSSg,Nice!!❤️ Excited yet scared of what's gonna happen in the future!,0,2019-12-09T13:27:00.000Z,0.1875,neutral
92,IBe2o-cZncU,UCV54Sf8oOgBQPO-kkx2T1og,"please include soundtrack, the first track is amazing! Great video btw!",0,2020-03-12T13:37:38.000Z,0.6666666666666666,positive
93,IBe2o-cZncU,UC7yt0N1eUMvicj5gyh7h-Cg,"Just recently discovered this channel. That's what I would call real ""quality content"".",0,2020-01-03T13:04:28.000Z,0.1,neutral
94,IBe2o-cZncU,UCKdqkd1KQoqi0RoYfv-ohGA,“A year spent in artificial intelligence is enough to make one believe in God.” —Alan Perlis,42,2019-12-09T14:33:09.000Z,-0.2333333333333333,neutral
95,IBe2o-cZncU,UC9Bc8apJfcCvQl-lymQVcCg,I wonder how far away we are from the very first documented case of AI road rage.. Now THAT's something I would want to see captured on dashcam...,0,2019-12-10T21:58:58.000Z,0.21250000000000002,neutral
96,IBe2o-cZncU,UCMqNbcCJlnvK1gWeadVtB_w,Give please link with interview in old footage that included in begining this video.,0,2020-02-20T18:12:57.000Z,0.1,neutral
97,IBe2o-cZncU,UCY4zigZisSjhNCbPQjQoycA,"I'm a simple man. I see notification Coldfusion released a new video, I click on it and hit the like button.",2,2019-12-09T12:55:29.000Z,0.06818181818181818,neutral
98,IBe2o-cZncU,UCEQOZMGnP7zMLHo0VgEIB3w,This is how you make an informative video of something. I'm glad Youtube algo recommended this to me. I am now a fan!,0,2019-12-10T11:58:45.000Z,0.625,positive
99,IBe2o-cZncU,UCB4mnnh58Uf_Qp--RuCV9xQ,You're the 1st channel that makes me feel like 2.1M subscribers are not enough. Dude...you're a beast.,0,2019-12-10T19:16:43.000Z,0.0,neutral
100,pl-tBjAM9g4,UCZmzHNs27b0LTzp7ZgqZR4Q,everyone here because of the CORONA VIRUS,24,2020-04-12T07:20:46.000Z,0.0,neutral
101,pl-tBjAM9g4,UCb8wwiax3XPUJUrz6ljXgfQ,"New to Google Classroom, this has been a tremendous help.",9,2020-04-06T20:30:12.000Z,0.23484848484848483,neutral
102,pl-tBjAM9g4,UCyPFnA7PyAihyvozbyJE66g,How can I use Google Classroom calendar with students to post ad and others notification for students,1,2020-04-14T22:10:00.000Z,0.0,neutral
103,pl-tBjAM9g4,UCkw7YJQI9PzzXPnDJ-izw2w,"When do I actually speak to the Students, is there any speaking at all",0,2020-04-17T10:11:42.000Z,0.0,neutral
104,pl-tBjAM9g4,UC8ypeMAG3GJCoKwoxXQBe4g,This was great. Thank you for such a simple straightforward tutorial!,3,2020-04-06T06:20:21.000Z,0.3171875,positive
105,pl-tBjAM9g4,UCU8aO2cDRdXoFvXjc8GHMbA,"I can't thank you enough!  Simple, easy to follow.",1,2020-04-14T19:49:22.000Z,0.14444444444444446,neutral
106,pl-tBjAM9g4,UCqQy5K4ma3UqGR8iE0-Oyjg,It was very helpful to switch back and forth from the Teacher view to the Student view.  Thank you,2,2020-04-15T00:20:39.000Z,0.1,neutral
107,pl-tBjAM9g4,UCWz4e3PsNk5GO4nYL_NrHwA,"I would like to add guardians (email) to my students, but i do not see that option.  Am i missing something, or could i be using an old version?",1,2020-04-08T13:34:17.000Z,-0.05,neutral
108,pl-tBjAM9g4,UCtTYx3IluCsIVBwKNp1c8ag,"You kinda look like Fred Schneider from the B 52's! Loved the video, greetings from a struggling teacher from Uruguay.",2,2020-04-06T16:34:25.000Z,0.7,positive
109,pl-tBjAM9g4,UCMQ4d5Jo2q6If3dCm_cKmzA,This has been a great help for students and teachers. Thanks so much!,0,2020-04-08T14:55:34.000Z,0.4166666666666667,positive
110,pl-tBjAM9g4,UC1gym_VccPsfx0TNX8hFEeQ,"Wow - great video!  What a great speaker and teacher - interesting, enthusiastic, and very clear.  I appreciate you showing EACH step.  Too often tutorials assume much more knowledge than a beginner might have.  That gets very frustrating.  This is an excellent introduction to Google Classrooms!",1,2020-04-11T18:30:24.000Z,0.4566666666666667,positive
111,pl-tBjAM9g4,UCEm6Zm_6IRaejl53ASHhCvA,This great. There page and mine are getting cluttered. Any suggestions?,0,2020-04-15T00:58:15.000Z,0.8,positive
112,pl-tBjAM9g4,UCoH2jbTt92PztuhuBvQhYeQ,The Video Tutorial for Beginners offered me valuable skills on how to effectively use the Google Classroom for Remote Learning. Your presentation is extremely helpful for instructing beginner students like myself who are learning how to navigate successfully.Thank You!,1,2020-04-09T23:44:57.000Z,0.11458333333333333,neutral
113,pl-tBjAM9g4,UCOoVh5nF3jo6q8M5fjDGCtg,newbie /Thank you now with lockdown east coast KZN  South Africa we need this,1,2020-04-12T03:21:42.000Z,0.0,neutral
114,pl-tBjAM9g4,UCh5Je3BQF6Eo5MDjGg6ig0w,Thank you so much. This video is extremely helpful. I am now teaching online due to COVID and needing these videos. Thanks again. Very clear instructions and thorough. Well presented. I liked to see from the student’s point of view.,0,2020-04-16T20:06:27.000Z,0.14666666666666667,neutral
115,pl-tBjAM9g4,UCQRQdER5DbWvYoBQaz4tXIg,Very helpful. I am always second guessing myself and this let me know I am doing it right. Thank you for sharing.,2,2020-04-01T16:41:40.000Z,0.1619047619047619,neutral
116,pl-tBjAM9g4,UCAGeY49eEnRXevBT3XGbWDw,Thanks for a great training for dummies.  I learned several things in the first 7 minutes!!!,1,2020-04-09T19:22:39.000Z,0.3720703125,positive
117,pl-tBjAM9g4,UCv3mDnEWKGWoiVZo6A3-2pg,This is an excellent tutorial. Here is hoping you get a million views!,1,2020-04-07T02:51:20.000Z,1.0,positive
118,pl-tBjAM9g4,UCxX04SMQXN77HkdQMFzns0w,Thank you so much. I am a noob who is trying to gain a hold or get my foot in. And you provided such a simple and clear tutorial!,0,2020-04-17T10:55:31.000Z,0.08125000000000002,neutral
119,pl-tBjAM9g4,UCVOzW7S7DOCX-MbqcXd-Sxw,I wish I had watched this 2 1/2 weeks ago! It would have saved me a lot of unnecessary frustration and time. Good job!,7,2020-04-05T19:37:37.000Z,0.2375,neutral
120,pl-tBjAM9g4,UCjXBhZVAyabmG-CDN-A69LA,"I am ashamed that Liz emma and I took too long to know about this!  :)  Awesome.  Thanks!  I felt so old, and now I'm past that big hurdle!  I'm up and running with my classes.  Now on to assessment.  Thank you!",1,2020-04-02T13:25:36.000Z,0.21964285714285717,neutral
121,pl-tBjAM9g4,UCS1EYD8ryv5BrGGflQShtLA,"Thank you. How you can share with guardians? You just show that the link is in your site, but it doesn't show in my class, so I don't know how to have it to invite them.",1,2020-04-06T18:20:19.000Z,0.0,neutral
122,pl-tBjAM9g4,UC3cjMQVji1ujWWwCrPeArhA,"Quick asking! how do I change my name to my real name?? I know it's easy but the problem here is that if I change my name, it changes in all platforms including youtube and I want to keep my name private so it's only seen on classroom.",0,2020-04-16T22:24:15.000Z,0.21000000000000002,neutral
123,pl-tBjAM9g4,UCijUFNApLX-uot0UzNsy5Zw,"When you make an assignment or return an assignment, do students receive an email message? Or do they need to visit the class to receive their messages? When they submit an assignment, do I receive an email message? Do I have to log in to see my messages?",0,2020-04-09T08:41:29.000Z,0.0,neutral
124,pl-tBjAM9g4,UC14AxyuZSdPPRy_lZaoAcaQ,"Nice presentation!  A lot of information in a short amount of time.  Usually, I'm about 5 steps behind and never quite ""get it"".  I feel fairly  confident going forward.  Still - kinda dizzy!",0,2020-04-08T04:03:54.000Z,0.145,neutral
125,pl-tBjAM9g4,UCg2aWMveve2cDqpG_98IV5A,Can you add recorded directions?? I teach special education and I have many non-readers. Does anyone know??,0,2020-04-15T17:27:03.000Z,0.4285714285714286,positive
126,pl-tBjAM9g4,UCa8E90U02up1PcfiWj2BJdA,Excellent presentation.  Thank you!,1,2020-04-14T22:06:16.000Z,1.0,positive
