,sl_no,video_id,user_id,comment,likes,last_update_time,sentiment,sentiment_label,stemmed_text,stemmed_clean_text
12,13,IBe2o-cZncU,UCPzZBnzLkFFK8SCJm3odl1g,"A name like Cardi B will soon be forgotten A name like Geoffrey Hinton will be echo throughout the ages, taking it's place among others like Newton & Galileo.",438,2019-12-09T14:18:29.000Z,0.0,neutral,A name like cardi B will soon be forgotten A name like geoffrey hinton will be echo throughout the age take it place among other like newton galileo ,"['A', 'like', 'cardi', 'B', 'soon', 'forgotten', 'A', 'like', 'geoffrey', 'hinton', 'echo', 'throughout', 'age', 'place', 'among', 'like', 'newton', 'galileo']"
13,14,IBe2o-cZncU,UCs8MxkSP7w-DrLn0-umI_HQ,Tom from Tom and Jerry is the first one who lost their job because of AI,127,2019-12-09T12:54:02.000Z,0.25,neutral,tom from tom and jerri is the first one who lost their job becaus of AI ,"['tom', 'tom', 'jerri', 'first', 'lost', 'job', 'becaus', 'AI']"
14,15,IBe2o-cZncU,UC3Tmb9xcMFSDXcmCCAFJnjw,A. I is equally interesting and freaky at the same time.,73,2019-12-09T13:15:49.000Z,0.25,neutral,I is equal interest and freaki at the same time ,"['I', 'equal', 'interest', 'freaki', 'time']"
15,16,IBe2o-cZncU,UCIDEkmfGyEDYwTY6llRO8gA,The real magic happens when AI starts identifying problems that we dont even know we have,9,2019-12-15T01:16:07.000Z,0.75,positive,the real magic happen when AI start identifi problem that we dont even know we have ,"['real', 'magic', 'happen', 'AI', 'start', 'identifi', 'problem', 'dont', 'even', 'know']"
16,17,IBe2o-cZncU,UCOAn0ddmqcCKEEw3gk_Q75g,In North Korea: Kim Il Sung invented AI,7,2020-01-02T13:06:46.000Z,0.0,neutral,In north korea kim Il sung invent AI ,"['In', 'north', 'korea', 'Il', 'sung', 'invent', 'AI']"
17,18,IBe2o-cZncU,UCYCanS1PAuymBsmj-A69iLA,"New order of intelligence, decided all humans were a threat.",70,2019-12-09T13:00:31.000Z,0.13636363636363635,neutral,new order of intellig decid all human were a threat ,"['new', 'order', 'intellig', 'decid', 'human', 'threat']"
18,19,IBe2o-cZncU,UCRX1ytQgRnxA6teQs26qDIw,Does anyone hear,75,2019-12-09T13:38:18.000Z,0.0,neutral,doe anyon hear ,"['doe', 'anyon', 'hear']"
19,20,IBe2o-cZncU,UCRco-NNaXoFiOZTTunpBwWA,How could you miss John Mccarthy as one of the fathers of AI?,28,2019-12-09T13:19:47.000Z,0.0,neutral,how could you miss john mccarthi as one of the father of AI ,"['could', 'miss', 'john', 'mccarthi', 'father', 'AI']"
20,21,IBe2o-cZncU,UC4VxZdSA2y8PHeS8Zf0VuvA,"The title should be: ""Who contributed to the invention of the current state-of-the-art A.I. algorithms"". A.I. is a large and ambiguous term. It is a multi-disciplinary field, where the heart of its theory is driven from math, neuroscience, and computer science fields. In addition, Neural Networks are a subset of algorithms in the machine learning area, where the aim is to design models that learn from data, using many optimizations and engineering methods. The video is good, however, I would be cautious when making such claims. Nonetheless, the scientists mentioned in the video are brilliant, and their determination is what drove A.I to its current status.",79,2019-12-09T13:44:51.000Z,0.33061224489795915,positive,the titl should be who contribut to the invent of the current algorithm is a larg and ambigu term It is a field where the heart of it theori is driven from math neurosci and comput scienc field In addit neural network are a subset of algorithm in the machin learn area where the aim is to design model that learn from data use mani optim and engin method the video is good howev I would be cautiou when make such claim nonetheless the scientist mention in the video are brilliant and their determin is what drove to it current statu ,"['titl', 'contribut', 'invent', 'current', 'algorithm', 'larg', 'ambigu', 'term', 'It', 'field', 'heart', 'theori', 'driven', 'math', 'neurosci', 'comput', 'scienc', 'field', 'In', 'addit', 'neural', 'network', 'subset', 'algorithm', 'machin', 'learn', 'area', 'aim', 'design', 'model', 'learn', 'data', 'use', 'mani', 'optim', 'engin', 'method', 'video', 'good', 'howev', 'I', 'would', 'cautiou', 'make', 'claim', 'nonetheless', 'scientist', 'mention', 'video', 'brilliant', 'determin', 'drove', 'current', 'statu']"
21,22,IBe2o-cZncU,UCNBXAUZZ6senluQj2Fjr1fw,"This is one of the best channels I've ever found on Youtube, Period! Thanks Dagogo for ColdFusion!",5,2019-12-09T17:32:54.000Z,0.625,positive,thi is one of the best channel I ever found on youtub period thank dagogo for coldfus ,"['best', 'channel', 'I', 'ever', 'found', 'youtub', 'period', 'thank', 'dagogo', 'coldfus']"
22,23,IBe2o-cZncU,UCWt3G_Q2d4hSM7VebZDJoFw,"""Originally from Britain in the UK."" That's kind of like saying ""from The United States in America"". He was born in England, so it should be ""originally from England in the UK"". :-) As always though, fascinating content, and excellent production values. :-)",34,2019-12-09T13:26:17.000Z,0.5785714285714285,positive,origin from britain in the UK that kind of like say from the unit state in america He wa born in england so it should be origin from england in the UK As alway though fascin content and excel product valu ,"['origin', 'britain', 'UK', 'kind', 'like', 'say', 'unit', 'state', 'america', 'He', 'wa', 'born', 'england', 'origin', 'england', 'UK', 'As', 'alway', 'though', 'fascin', 'content', 'excel', 'product', 'valu']"
23,24,IBe2o-cZncU,UCHjnIGmnClRW1nXpkC-XyQA,Well done Dagogo. Love the presentation style as always.,11,2019-12-09T13:02:44.000Z,0.5,positive,well done dagogo love the present style as alway ,"['well', 'done', 'dagogo', 'love', 'present', 'style', 'alway']"
24,25,IBe2o-cZncU,UC6yYMFfEBYgszVmwTGxjdKQ,16:15 Hinton: >: (,14,2019-12-09T13:15:57.000Z,-0.125,neutral,hinton ,['hinton']
25,26,IBe2o-cZncU,UC4Ca9sfrNS5BqgC7XKlwACg,I am waiting for the day the NPC in games will be fully functioning multi-purpose AI that i can talk to when my friends go out without me,5,2019-12-09T13:56:05.000Z,0.0,neutral,I am wait for the day the npc in game will be fulli function AI that i can talk to when my friend go out without me ,"['I', 'wait', 'day', 'npc', 'game', 'fulli', 'function', 'AI', 'talk', 'friend', 'go', 'without']"
26,27,IBe2o-cZncU,UC2crh06Nz5QwRaXOLYW0wAg,11:55 when I played the Turing test there was a point where the game claims that it's puzzles could only be solved by a human because an ai would never make the leaps of reasoning like throwing the block through the window.. And I knew that just wasn't true. AI would be just as good as a human at trying random shit till something worked. Hell I bet most of us have brute forced our way through puzzles never figuring out the actual logic to solve them.,5,2019-12-09T16:50:19.000Z,0.013636363636363624,neutral,when I play the ture test there wa a point where the game claim that it puzzl could onli be solv by a human becaus an ai would never make the leap of reason like throw the block through the window and I knew that just wa true AI would be just as good as a human at tri random shit till someth work hell I bet most of us have brute forc our way through puzzl never figur out the actual logic to solv them ,"['I', 'play', 'ture', 'test', 'wa', 'point', 'game', 'claim', 'puzzl', 'could', 'onli', 'solv', 'human', 'becaus', 'would', 'never', 'make', 'leap', 'reason', 'like', 'throw', 'block', 'window', 'I', 'knew', 'wa', 'true', 'AI', 'would', 'good', 'human', 'random', 'shit', 'someth', 'work', 'hell', 'I', 'bet', 'us', 'brute', 'forc', 'way', 'puzzl', 'never', 'figur', 'actual', 'logic', 'solv']"
27,28,IBe2o-cZncU,UC_n-RlJ0RxcMFK6XcIHm6Tg,"AI will be just like fire; It's a great servant, but a really bad master",4,2019-12-10T03:02:27.000Z,0.0500000000000001,neutral,AI will be just like fire It a great servant but a realli bad master ,"['AI', 'like', 'fire', 'It', 'great', 'servant', 'realli', 'bad', 'master']"
28,29,IBe2o-cZncU,UCkrEVI8CjFXcOm__E67Irtw,Last time I was this early Epstein was still alive in his cell.,4,2019-12-09T13:03:50.000Z,0.06666666666666668,neutral,last time I wa thi earli epstein wa still aliv in hi cell ,"['last', 'time', 'I', 'wa', 'earli', 'epstein', 'wa', 'still', 'aliv', 'hi', 'cell']"
29,30,IBe2o-cZncU,UCW9TMgL6TtlTUR3ClEpawoQ,When she said: You're watching Cold Fusion TV *i felt that*,1,2020-01-05T17:57:16.000Z,-0.6,negative,when she said you watch cold fusion TV i felt that ,"['said', 'watch', 'cold', 'fusion', 'TV', 'felt']"
30,31,IBe2o-cZncU,UCmgj7wY-calPYgt-8Pjgebw,"First articles in A.I. and ML: 1. McCalloch W.S., Pitts W., Logical Calculus of Ideas Immanent in Nervous Bulletin of Mathematical Biophysics, Vol. 5, 1943, pp. doi: 10.1007/BF02478259 2. Stochastic Neural Analog Reinforcement Calculator, SNARC, 1951. By Marvin Minsky and George Miller. 3. Rosenblatt F., perceptron: A probabilistic model for information storage and organization in the Psychological Review, Vol. 65, No. 6, 1958, pp. doi: 10.1037/h0042519 4. Samuel A.L., Studies in Machine Learning Using the Game of in IBM Journal of Research and Development, Vol. 3, No. 3, July 1959, pp. 210-229, doi: 10.1147/rd.33.0210.",20,2019-12-09T13:22:31.000Z,0.0,neutral,first articl in and ML 1 mccalloch pitt logic calculu of idea imman in nervou bulletin of mathemat biophys vol 5 1943 pp doi 2 stochast neural analog reinforc calcul snarc 1951 By marvin minski and georg miller 3 rosenblatt perceptron A probabilist model for inform storag and organ in the psycholog review vol 65 No 6 1958 pp doi 4 samuel studi in machin learn use the game of in ibm journal of research and develop vol 3 No 3 juli 1959 pp doi ,"['first', 'articl', 'ML', '1', 'mccalloch', 'pitt', 'logic', 'calculu', 'idea', 'imman', 'nervou', 'bulletin', 'mathemat', 'biophys', 'vol', '5', '1943', 'pp', '2', 'stochast', 'neural', 'analog', 'reinforc', 'calcul', 'snarc', '1951', 'By', 'marvin', 'minski', 'georg', 'miller', '3', 'rosenblatt', 'perceptron', 'A', 'probabilist', 'model', 'inform', 'storag', 'organ', 'psycholog', 'review', 'vol', '65', 'No', '6', '1958', 'pp', '4', 'samuel', 'studi', 'machin', 'learn', 'use', 'game', 'ibm', 'journal', 'research', 'develop', 'vol', '3', 'No', '3', 'juli', '1959', 'pp']"
31,32,IBe2o-cZncU,UC7ysrXYblJ7A4XkDoS3yIAg,"title should be ""who invented Artificial Neural Networks"" not AI, ai is bigger, good research but failed in the basics",4,2019-12-09T14:51:51.000Z,-0.1,neutral,titl should be who invent artifici neural network not AI ai is bigger good research but fail in the basic ,"['titl', 'invent', 'artifici', 'neural', 'network', 'AI', 'bigger', 'good', 'research', 'fail', 'basic']"
32,33,IBe2o-cZncU,UCaSAhN17LMRMK2OHckR8RSg,Steve Jobs did not invent the iPhone and gets a lot of Credit whereas the Pioneers in the Tech World gets so little Credit,10,2019-12-09T14:35:01.000Z,-0.1875,neutral,steve job did not invent the iphon and get a lot of credit wherea the pioneer in the tech world get so littl credit ,"['steve', 'job', 'invent', 'iphon', 'get', 'lot', 'credit', 'wherea', 'pioneer', 'tech', 'world', 'get', 'littl', 'credit']"
33,34,IBe2o-cZncU,UC0wn6IWzf7Gs1SUX6-V5EUg,When I see the notification of this video I am damn sure this is gonna be epic I already like it before I watch this video keep going man you doing great,5,2019-12-09T13:54:50.000Z,0.4666666666666666,positive,when I see the notif of thi video I am damn sure thi is gon na be epic I alreadi like it befor I watch thi video keep go man you do great ,"['I', 'see', 'notif', 'video', 'I', 'damn', 'sure', 'gon', 'epic', 'I', 'alreadi', 'like', 'befor', 'I', 'watch', 'video', 'keep', 'go', 'great']"
34,35,IBe2o-cZncU,UC0wJhbxSJChZE8P5L5MoNTA,1970s people: We'll have flying cars in 30 years! 2020s people: Robots will be smarter than us in 30 years!,20,2019-12-10T14:41:51.000Z,0.0,neutral,1970 peopl We have fli car in 30 year 2020 peopl robot will be smarter than us in 30 year ,"['1970', 'peopl', 'We', 'fli', 'car', '30', 'year', '2020', 'peopl', 'robot', 'smarter', 'us', '30', 'year']"
35,36,IBe2o-cZncU,UCu-yrHGleRa3Wv8dhg5NrHQ,A mind-blowing stuff. Would you like to do a vid about Alan Turing/ Ray Kuzweil? Greetings from Lake Titicaca Bolivia,3,2019-12-09T15:34:16.000Z,0.0,neutral,A stuff would you like to do a vid about alan ray kuzweil greet from lake titicaca bolivia ,"['A', 'stuff', 'would', 'like', 'alan', 'ray', 'kuzweil', 'greet', 'lake', 'titicaca', 'bolivia']"
36,37,IBe2o-cZncU,UCXy2VSGx6aphSK3ctsLcKDg,Who Invented A.I.? - The Pioneers of Our Demise,3,2019-12-10T03:08:26.000Z,0.0,neutral,who invent the pioneer of our demis ,"['invent', 'pioneer', 'demis']"
37,38,IBe2o-cZncU,UCAInl1iA0Bnd68XpvfVDPKQ,The best stories are the ones where someone is shunned and ridiculed only to be discovered right all along,2,2019-12-10T02:32:50.000Z,0.42857142857142855,positive,the best stori are the one where someon is shun and ridicul onli to be discov right all along ,"['best', 'stori', 'someon', 'shun', 'ridicul', 'onli', 'discov', 'right', 'along']"
38,39,IBe2o-cZncU,UCdxSANISh3qjnQkzXMT-qlg,I'm not first but I've never been this early. Currently watching one of your vids and I got the notification. Can't wait to finish and watch this one as well. RIP work..,3,2019-12-09T12:54:42.000Z,-0.008333333333333331,neutral,I not first but I never been thi earli current watch one of your vid and I got the notif Ca wait to finish and watch thi one as well rip work ,"['I', 'first', 'I', 'never', 'earli', 'current', 'watch', 'I', 'got', 'notif', 'Ca', 'wait', 'finish', 'watch', 'well', 'rip', 'work']"
39,40,IBe2o-cZncU,UCsFz9NSt8ZROXEJ6JwLWOAg,"slightly related: Mrs Windsor, knight Turing already!",1,2019-12-09T19:27:15.000Z,0.0,neutral,slightli relat mr windsor knight ture alreadi ,"['slightli', 'relat', 'mr', 'windsor', 'knight', 'ture', 'alreadi']"
40,41,IBe2o-cZncU,UCHOSfCrrKsfO8XeYQaoVFrg,Those visual at the end are amazing. Wish I could have glasses that change perspective like that! Trippy!,5,2019-12-09T14:05:54.000Z,0.4687500000000001,positive,those visual at the end are amaz wish I could have glass that chang perspect like that trippi ,"['visual', 'amaz', 'wish', 'I', 'could', 'glass', 'chang', 'perspect', 'like', 'trippi']"
41,42,IBe2o-cZncU,UCZhyF-ugdbSZF_oZg_sFxVw,"16:13 soo does he sleep upright?..And with all this A.I craziness, why hasn't he or his team of A.I Soldiers sought out a way to fix his back injury?",1,2019-12-11T06:52:39.000Z,0.0,neutral,soo doe he sleep upright and with all thi crazi whi ha he or hi team of soldier sought out a way to fix hi back injuri ,"['soo', 'doe', 'sleep', 'upright', 'crazi', 'whi', 'hi', 'team', 'soldier', 'sought', 'way', 'fix', 'hi', 'back', 'injuri']"
42,43,IBe2o-cZncU,UCY2eGv0yer1szeeLZtFvEnA,"Don't know from how many decades people have been saying that AI , nuclear fusion will be reality ?",7,2019-12-09T12:57:53.000Z,0.5,positive,Do know from how mani decad peopl have been say that AI nuclear fusion will be realiti ,"['Do', 'know', 'mani', 'decad', 'peopl', 'say', 'AI', 'nuclear', 'fusion', 'realiti']"
43,44,IBe2o-cZncU,UCIaUzMI0LkusUaI0gFqmijg,Why is Yoshua Bengio being left out? I thought turning award was give to these 3 people.,4,2019-12-10T03:46:04.000Z,0.0,neutral,whi is yoshua bengio be left out I thought turn award wa give to these 3 peopl ,"['whi', 'yoshua', 'bengio', 'left', 'I', 'thought', 'turn', 'award', 'wa', 'give', '3', 'peopl']"
44,45,IBe2o-cZncU,UCN0JI8-OwGmoSxU4TzcuSRQ,The Mitochondria is the Powerhouse of the Cell. The A.I. are the Angels of the Mind. It is all about -parasitic co_dependence- _symbiogenesis_ . . .,4,2019-12-10T08:10:26.000Z,0.0,neutral,the mitochondria is the powerhous of the cell the are the angel of the mind It is all about ,"['mitochondria', 'powerhous', 'cell', 'angel', 'mind', 'It']"
45,46,IBe2o-cZncU,UCX1K9Gf_bJv57EvrP6II0-A,"One of humanity's greatest tools of war and oppression, I can't wait!",1,2019-12-12T16:01:53.000Z,1.0,positive,one of human greatest tool of war and oppress I ca wait ,"['human', 'greatest', 'tool', 'oppress', 'I', 'wait']"
46,47,IBe2o-cZncU,UCCH5UIBnY0X899Uo1Fke37w,"Here in Croatia Singularity will be achieved soon, couse the average IQ of ppl is like 87 :))",10,2019-12-09T15:07:58.000Z,0.175,neutral,here in croatia singular will be achiev soon cous the averag IQ of ppl is like 87 ,"['croatia', 'singular', 'achiev', 'soon', 'cous', 'averag', 'IQ', 'ppl', 'like', '87']"
47,48,IBe2o-cZncU,UCCSk7XtYCYg9CDp1Xl87aWA,"Man you forget Yoshua Bengio, he also got the Turing award this year and he helped the field with many publications",3,2019-12-09T21:19:53.000Z,0.5,positive,man you forget yoshua bengio he also got the ture award thi year and he help the field with mani public ,"['forget', 'yoshua', 'bengio', 'got', 'ture', 'award', 'year', 'help', 'field', 'mani', 'public']"
48,49,IBe2o-cZncU,UCS6txFuVGh7ufUgcDAFU1bw,"Do you have any thoughts about the weaponization of AI? This video focused on positive uses for AI. Like any tool, AI could be used for good or bad. Any tech with promise gets co-opted by the military pretty quickly right? I mean, can you imagine a militarized AI for attacking critical infrastructure? Humans seem pretty consistent on to finding new ways to destroy one another. It's hard enough to stop cyber-criminals from stealing credit cards.. A weaponized AI could cause more damage to a nation or economy than any nuclear warhead, not to mention their use in weapons systems/vehicles. Just scary to think about. Thank you for the informative and insightful video. It is always a treat to see your uploads.",4,2019-12-10T06:30:16.000Z,0.030948998917748924,neutral,Do you have ani thought about the weapon of AI thi video focus on posit use for AI like ani tool AI could be use for good or bad ani tech with promis get by the militari pretti quickli right I mean can you imagin a militar AI for attack critic infrastructur human seem pretti consist on to find new way to destroy one anoth It hard enough to stop from steal credit card A weapon AI could caus more damag to a nation or economi than ani nuclear warhead not to mention their use in weapon just scari to think about thank you for the inform and insight video It is alway a treat to see your upload ,"['Do', 'ani', 'thought', 'weapon', 'AI', 'video', 'focus', 'posit', 'use', 'AI', 'like', 'ani', 'tool', 'AI', 'could', 'use', 'good', 'bad', 'ani', 'tech', 'promis', 'get', 'militari', 'pretti', 'quickli', 'right', 'I', 'mean', 'imagin', 'militar', 'AI', 'attack', 'critic', 'infrastructur', 'human', 'seem', 'pretti', 'consist', 'find', 'new', 'way', 'destroy', 'anoth', 'It', 'hard', 'enough', 'stop', 'steal', 'credit', 'card', 'A', 'weapon', 'AI', 'could', 'caus', 'damag', 'nation', 'economi', 'ani', 'nuclear', 'warhead', 'mention', 'use', 'weapon', 'scari', 'think', 'thank', 'inform', 'insight', 'video', 'It', 'alway', 'treat', 'see', 'upload']"
49,50,IBe2o-cZncU,UCrqOMHtU_gD2jHb7PR6WMZQ,Hopefully a AI can tell me how to proceed with my life hard decisions right now,2,2019-12-10T05:15:54.000Z,-0.002976190476190493,neutral,hope a AI can tell me how to proceed with my life hard decis right now ,"['hope', 'AI', 'tell', 'proceed', 'life', 'hard', 'decis', 'right']"
50,51,IBe2o-cZncU,UCC1TR63XB_bF9jRHOSQjsbw,"all i can hear is ""judgement day"" turum dum dum dum",2,2019-12-09T19:52:07.000Z,0.0,neutral,all i can hear is judgement day turum dum dum dum ,"['hear', 'judgement', 'day', 'turum', 'dum', 'dum', 'dum']"
51,52,IBe2o-cZncU,UClavy3_2_cS_EkJ3hIxqF3A,"Marvin Minsky would be another big name, I remember seeing his name frequently when I learned neural networks in the '90s.",3,2019-12-09T14:52:26.000Z,0.05,neutral,marvin minski would be anoth big name I rememb see hi name frequent when I learn neural network in the ,"['marvin', 'minski', 'would', 'anoth', 'big', 'I', 'rememb', 'see', 'hi', 'frequent', 'I', 'learn', 'neural', 'network']"
52,53,IBe2o-cZncU,UCaSAhN17LMRMK2OHckR8RSg,7:55 Pedestrian might have used AI without realizing that the Pioneer of it is just near them,1,2019-12-09T14:40:04.000Z,0.1,neutral,pedestrian might have use AI without realiz that the pioneer of it is just near them ,"['pedestrian', 'might', 'use', 'AI', 'without', 'realiz', 'pioneer', 'near']"
53,54,IBe2o-cZncU,UC-X458fP4HE661S6g9EC4Ng,"Perspective: I recall the first time I ever saw a TV in a store window in Harrisburg, Illinois. That was almost 70 years ago Now, fast forward to this! What a grand time to have been alive!!",1,2019-12-11T15:08:59.000Z,0.2890625,neutral,perspect I recal the first time I ever saw a TV in a store window in harrisburg illinoi that wa almost 70 year ago now fast forward to thi what a grand time to have been aliv ,"['perspect', 'I', 'recal', 'first', 'time', 'I', 'ever', 'saw', 'TV', 'store', 'window', 'harrisburg', 'illinoi', 'wa', 'almost', '70', 'year', 'ago', 'fast', 'forward', 'grand', 'time', 'aliv']"
54,55,IBe2o-cZncU,UCBtBIqlkmUTdhiSk2kHhYrw,"Uber's ""AI"" was later confirmed in an interview to be an if statement",0,2020-04-02T13:41:11.000Z,0.2,neutral,uber AI wa later confirm in an interview to be an if statement ,"['uber', 'AI', 'wa', 'later', 'confirm', 'interview', 'statement']"
55,56,IBe2o-cZncU,UCeD5m_xKSINJbWDlKGuCyIw,"4:56 Euh.. so on one hand we are trowing away data. On the other: humans and animals learn faster and with less data than computers. Hmm, that seems like an odd choice.",0,2019-12-10T11:24:28.000Z,-0.15277777777777776,neutral,euh so on one hand we are trow away data On the other human and anim learn faster and with less data than comput hmm that seem like an odd choic ,"['euh', 'hand', 'trow', 'away', 'data', 'On', 'human', 'anim', 'learn', 'faster', 'less', 'data', 'comput', 'hmm', 'seem', 'like', 'odd', 'choic']"
56,57,IBe2o-cZncU,UCg72Es022TW-1rlihJAByEA,1958: lets train perceptron to recognize the patterns of male and femal faces 2019: did this patriarcal thing just assume my gender?,1,2019-12-10T20:13:04.000Z,0.0,neutral,1958 let train perceptron to recogn the pattern of male and femal face 2019 did thi patriarc thing just assum my gender ,"['1958', 'let', 'train', 'perceptron', 'recogn', 'pattern', 'male', 'femal', '2019', 'patriarc', 'thing', 'assum', 'gender']"
57,58,IBe2o-cZncU,UCiiViwIk8lm6y6QvQQ_HUlw,"mad respect to the guy, unfazed by peer pressure",3,2019-12-09T14:16:39.000Z,-0.625,negative,mad respect to the guy unfaz by peer pressur ,"['mad', 'respect', 'guy', 'unfaz', 'peer', 'pressur']"
58,59,IBe2o-cZncU,UCXmZB7vZiubH_W74zyGwaEw,"You guys on know what I just thought, when I heard that this person needs to stand upright all die Time? Get this man an EUC (electric unicycle).",0,2019-12-10T18:01:24.000Z,0.0,neutral,you guy on know what I just thought when I heard that thi person need to stand upright all die time get thi man an euc electr unicycl ,"['guy', 'know', 'I', 'thought', 'I', 'heard', 'person', 'need', 'stand', 'upright', 'time', 'get', 'euc', 'electr', 'unicycl']"
59,60,IBe2o-cZncU,UCH81472-8nOept6UBrUTVqw,"""Originally from Britain in the UK"" That's like saying ""Originally from the USA in America""",0,2019-12-12T02:19:05.000Z,0.375,positive,origin from britain in the UK that like say origin from the usa in america ,"['origin', 'britain', 'UK', 'like', 'say', 'origin', 'usa', 'america']"
60,61,IBe2o-cZncU,UCv0edf1KgkUxRYByKk9FR3A,AI: *works* Hinton: hear sumn?,0,2019-12-10T06:06:02.000Z,0.0,neutral,AI work hinton hear sumn ,"['AI', 'work', 'hinton', 'hear', 'sumn']"
61,62,IBe2o-cZncU,UCbfYPyITQ-7l4upoX8nvctg,"Excellent video, held on to my papers all the way through. Thank you so much for the kind shoutout!",2,2019-12-09T16:53:57.000Z,0.65,positive,excel video held on to my paper all the way through thank you so much for the kind shoutout ,"['excel', 'video', 'held', 'paper', 'way', 'thank', 'much', 'kind', 'shoutout']"
62,63,IBe2o-cZncU,UCUdkresyuzUnx3m6GGgdMcg,John McCarthy: Am I a joke to you? @ColdFusion did you even know who John McCarthy was? unsubscribe,0,2019-12-14T16:21:31.000Z,0.0,neutral,john mccarthi Am I a joke to you coldfus did you even know who john mccarthi wa unsubscrib ,"['john', 'mccarthi', 'Am', 'I', 'joke', 'coldfus', 'even', 'know', 'john', 'mccarthi', 'wa', 'unsubscrib']"
